DY
207
43
AvgCyclomatic;AvgCyclomaticModified;AvgCyclomaticStrict;AvgEssential;AvgLine;AvgLineBlank;AvgLineCode;AvgLineComment;CountClassBase;CountClassCoupled;CountClassDerived;CountDeclClassMethod;CountDeclClassVariable;CountDeclInstanceMethod;CountDeclInstanceVariable;CountDeclMethod;CountDeclMethodAll;CountDeclMethodDefault;CountDeclMethodPrivate;CountDeclMethodProtected;CountDeclMethodPublic;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;MaxCyclomatic;MaxCyclomaticModified;MaxCyclomaticStrict;MaxEssential;MaxInheritanceTree;MaxNesting;PercentLackOfCohesion;RatioCommentToCode;SumCyclomatic;SumCyclomaticModified;SumCyclomaticStrict;SumEssential
rx.RefCountTest;1.0;1.0;1.0;1.0;86.0;19.0;40.0;27.0;1.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;90.0;20.0;43.0;11.0;36.0;27.0;30.0;34.0;10.0;24.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.63;1.0;1.0;1.0;1.0;0
rx.RefCountTests;1.0;1.0;1.0;1.0;30.0;6.0;21.0;2.0;1.0;9.0;0.0;0.0;0.0;6.0;0.0;6.0;6.0;0.0;0.0;0.0;6.0;210.0;44.0;139.0;47.0;110.0;27.0;92.0;105.0;40.0;65.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.19;6.0;6.0;6.0;6.0;0
rx.ScanTests;1.0;1.0;1.0;1.0;22.0;5.0;17.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;41.0;6.0;20.0;3.0;13.0;15.0;4.0;8.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.75;1.0;1.0;1.0;1.0;0
rx.Scheduler;1.0;1.0;1.0;1.0;11.0;0.0;2.0;9.0;1.0;1.0;21.0;0.0;0.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;151.0;10.0;34.0;15.0;16.0;107.0;16.0;24.0;16.0;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3.15;3.0;3.0;3.0;3.0;0
rx.SchedulersTest;1.0;1.0;1.0;1.0;30.0;6.0;23.0;0.0;1.0;7.0;0.0;0.0;0.0;15.0;0.0;15.0;15.0;0.0;0.0;0.0;15.0;555.0;118.0;402.0;111.0;296.0;36.0;190.0;257.0;109.0;148.0;3.0;3.0;3.0;1.0;1.0;1.0;0.0;0.09;25.0;25.0;25.0;15.0;0
rx.StartWithTests;1.0;1.0;1.0;1.0;9.0;1.0;8.0;0.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;3.0;52.0;7.0;30.0;12.0;19.0;15.0;19.0;23.0;9.0;14.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.5;3.0;3.0;3.0;3.0;0
rx.ThrottleFirstTests;1.0;1.0;1.0;1.0;30.0;2.0;27.0;8.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;49.0;3.0;30.0;8.0;24.0;23.0;24.0;26.0;6.0;20.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.77;1.0;1.0;1.0;1.0;0
rx.ThrottleLastTests;1.0;1.0;1.0;1.0;30.0;2.0;27.0;8.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;49.0;3.0;30.0;8.0;24.0;23.0;24.0;26.0;6.0;20.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.77;1.0;1.0;1.0;1.0;0
rx.ThrottleWithTimeoutTests;1.0;1.0;1.0;1.0;30.0;2.0;27.0;8.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;49.0;3.0;30.0;8.0;24.0;23.0;24.0;26.0;6.0;20.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.77;1.0;1.0;1.0;1.0;0
rx.TimeoutTests;1.0;1.0;1.0;1.0;14.0;1.0;13.0;0.0;1.0;6.0;0.0;0.0;2.0;11.0;3.0;11.0;11.0;0.0;0.0;0.0;11.0;206.0;23.0;167.0;70.0;119.0;16.0;122.0;134.0;49.0;85.0;1.0;1.0;1.0;1.0;1.0;0.0;27.0;0.1;11.0;11.0;11.0;11.0;0
